value,category
7270,A
860,B
5390,B
5191,C
5734,C
6265,A
466,C
4426,C
5578,C
8322,B
1685,D
769,C
6949,D
2433,B
5311,A
5051,B
6420,A
1184,C
4555,A
3385,A
6396,D
8666,B
9274,B
2558,B
7849,D
2047,B
2747,B
9167,B
9998,C
189,B
2734,C
3005,A
4658,B
1899,A
7734,D
1267,C
1528,C
3556,B
3890,A
8838,A
5393,B
8792,A
8433,A
7513,A
2612,A
7041,D
9555,A
6235,C
5486,A
7099,D
9670,C
775,C
8226,B
3152,B
1585,A
3943,B
7555,C
3073,B
1021,B
3843,D
7989,D
9692,B
6873,C
5675,B
161,B
4297,D
995,D
7629,B
9467,D
1016,D
7869,C
6439,D
7892,B
6863,B
7916,C
8529,B
878,A
9268,A
4887,D
4859,B
6331,A
8571,B
8684,D
7208,D
5276,B
2062,D
64,D
8006,D
2568,B
5463,D
2027,B
2695,D
9687,C
5258,D
5618,D
6736,D
391,B
5892,D
3561,C
6184,C
3099,D
6278,D
8392,C
3104,C
7215,D
2454,C
8996,C
2731,B
8154,D
9762,B
5056,D
8110,B
3840,B
1028,A
7385,A
502,A
6910,C
9062,A
6938,C
4488,B
206,A
5134,B
5977,D
7721,A
7035,C
1484,A
7858,B
863,B
2790,A
7408,C
8755,B
5116,D
6019,D
1757,A
7574,C
6374,B
6892,B
1678,B
3242,A
4636,C
1059,A
6668,B
9914,A
3157,B
5915,C
9789,C
2693,D
3627,D
9555,B
5450,A
1663,B
9721,A
5592,D
7392,C
1306,B
6776,A
5864,C
9474,A
7526,C
8901,C
5575,A
5530,C
4413,D
3748,C
663,C
1998,B
7994,A
1495,B
3304,B
3763,D
5232,B
1853,D
6585,C
1291,B
3581,C
7554,D
7280,C
1636,A
3696,C
698,D
4737,C
854,B
8164,B
5855,D
7392,A
6528,A
5249,B
5172,B
1707,A
5791,C
9925,C
5535,A
4931,B
3510,D
202,B
4218,D
8958,A
4389,D
2327,B
8004,D
2931,D
7777,C
197,C
7125,B
1930,D
6287,D
8800,A
9339,D
4282,B
2511,C
9986,D
659,C
2811,D
7098,A
6546,B
9561,D
1986,A
8338,D
2911,D
1734,C
1843,A
8680,D
2976,B
1959,A
5759,D
6694,D
2385,B
4736,C
1802,C
8155,B
8120,B
6616,A
5534,A
4061,D
262,A
6287,B
8815,A
9208,B
2049,D
5423,C
4548,D
3108,A
7158,B
7400,A
3170,A
9874,C
2255,B
1154,A
4499,D
6295,B
6197,C
9888,B
1648,C
5539,A
9637,D
4199,B
8445,C
2557,C
5592,A
98,D
2200,A
2961,A
4973,A
4433,C
2869,B
956,A
8352,B
5699,B
6944,D
4493,A
9492,C
4911,B
3987,C
9719,D
6015,D
1218,C
4496,B
4735,C
4555,D
9146,C
8050,D
3446,D
1045,D
6893,B
1693,D
3436,D
8754,A
5895,C
3354,C
225,A
4893,D
7022,C
9151,A
5600,A
7996,D
9007,C
7683,D
4642,A
7679,C
8208,C
7339,C
9435,A
2205,D
1069,A
3444,A
1060,B
2327,A
3420,B
301,D
606,D
3170,D
699,C
5088,C
9331,D
190,C
980,C
2975,C
6102,C
1184,B
3327,A
3394,D
8319,B
1816,D
5854,C
6709,C
569,A
5442,D
1895,A
2733,D
3863,B
7455,B
4014,D
1686,A
3009,B
7806,B
154,C
1409,B
784,D
8096,C
7560,D
7343,C
7206,B
5596,A
5801,B
2806,C
537,C
5986,B
1841,D
8716,C
6971,B
5625,D
2950,C
7992,A
4780,A
2368,C
6655,B
8173,A
4495,B
9163,C
6002,B
6614,D
9358,C
5919,A
853,D
4146,D
3769,B
574,B
1148,C
6293,D
6457,C
7509,B
9907,C
4777,B
3854,D
2491,B
3124,A
5691,C
3051,A
4,A
5222,D
5315,D
4869,A
876,B
9183,A
7027,B
4142,B
6966,B
7079,A
7987,B
6799,B
4465,B
635,A
1693,A
9874,C
4752,C
8311,A
830,C
5177,C
9561,C
8932,B
8308,D
5949,A
2838,B
1150,B
7560,A
1931,C
9204,C
1664,B
1081,B
512,A
7805,D
5237,D
559,C
3672,A
7404,B
3343,C
4070,A
9662,D
580,D
7004,D
8130,A
3147,A
4249,B
1679,C
3506,A
7253,D
2744,D
9435,D
5188,C
2141,D
6617,C
2479,D
6484,C
9827,D
7421,D
9949,D
4452,C
5881,B
6665,D
2849,C
7390,A
6905,A
2489,C
9823,B
9207,B
9540,B
4611,A
2839,A
8527,B
5878,A
9087,C
6303,D
851,D
1687,B
6833,A
2427,A
9760,A
4000,C
5052,D
2738,D
5732,C
5387,C
8002,B
5536,C
3913,C
1066,C
7723,A
4380,C
4107,D
5726,D
3373,B
8945,D
2082,A
8967,A
6748,D
9817,A
417,C
8306,B
8808,D
3974,A
3267,A
825,D
7668,A
5745,A
9708,A
412,D
7543,D
7587,D
728,D
7164,B
8867,D
5988,C
2504,A
2967,A
2786,B
1122,B
4079,C
1571,A
5073,D
5104,D
2143,C
9879,C
6806,A
7357,D
3440,B
3766,B
5644,D
2914,C
4968,C
5917,C
8787,D
728,B
1365,A
4492,D
698,D
7186,B
395,C
7400,C
8082,D
4171,B
4360,D
2502,A
717,B
2782,C
4946,B
5486,B
8335,B
4980,B
7266,B
4491,A
7192,C
5588,B
7651,D
3636,C
1167,D
1062,A
2156,B
7860,A
5161,D
5305,D
6541,A
4729,B
9348,B
7330,C
5334,D
8924,B
4330,B
8010,C
6801,C
4846,D
6731,D
7241,A
953,B
2539,B
7056,D
1542,C
5293,D
1191,B
6313,B
6938,A
2681,D
9409,A
1540,B
6172,B
5541,B
9580,C
1365,D
8691,B
9872,C
8702,B
7494,C
4312,D
1324,C
9347,D
3141,A
7419,D
3486,D
1810,B
6588,A
2923,B
5301,C
4186,A
8905,D
5977,D
4268,D
4748,A
4849,C
9435,D
3709,D
9273,D
6619,D
8647,D
9086,B
9576,B
3072,D
6530,D
504,A
1214,D
1531,A
7576,B
823,B
928,D
5029,B
133,A
2105,D
3627,D
6316,C
1852,A
4910,C
4175,C
5348,B
9442,B
6190,C
1256,B
3376,A
5645,B
3486,B
3584,B
9588,C
8053,A
3330,B
2703,A
8662,A
8120,B
7114,B
1353,D
5063,D
8549,B
7575,A
667,D
4468,C
9337,D
6819,B
3719,A
2745,B
7483,C
539,D
4964,D
4835,D
3775,C
6042,B
7102,D
7312,B
5320,C
6132,A
7891,C
2779,C
924,B
1581,C
7714,C
3324,D
5713,A
7026,D
255,C
4804,D
1838,C
9,C
2871,D
8989,C
7409,C
7418,A
5124,D
1015,D
